"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
1-01-20,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-02-20,17,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-03-20,15,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-04-20,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-05-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-06-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-07-20,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-08-20,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-09-20,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-10-20,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-11-20,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
1-12-20,25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-01-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-02-20,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-03-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-04-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-05-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-06-20,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-07-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-08-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-09-20,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-10-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-11-20,20,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
2-12-20,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-01-20,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-02-20,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-03-20,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-04-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-05-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-06-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-07-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-08-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-09-20,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-10-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-11-20,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
3-12-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-01-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-02-20,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-03-20,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-04-20,80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-05-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-06-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-07-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-08-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-09-20,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-10-20,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-11-20,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
4-12-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-01-20,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-02-20,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-03-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-04-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-05-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-06-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-07-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-08-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-09-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-10-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-11-20,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
5-12-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-01-20,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-02-20,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-03-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-04-20,67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-05-20,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-06-20,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-07-20,22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-08-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-09-20,23,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-10-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-11-20,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
6-12-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-01-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-02-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-03-20,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-04-20,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-05-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-06-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-07-20,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-08-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-09-20,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-10-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-11-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
7-12-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-01-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-02-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-03-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-04-20,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-05-20,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-06-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-07-20,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-08-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-09-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-10-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-11-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
8-12-20,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-01-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-02-20,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-03-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-04-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-05-20,30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-06-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-07-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-08-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-09-20,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-10-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-11-20,67,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
9-12-20,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,58,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-01-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-02-20,47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-03-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-04-20,45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-05-20,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-06-20,31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-07-20,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-08-20,28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-09-20,39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-10-20,40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-11-20,46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
10-12-20,41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,16,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,21,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
NA,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,33,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,33,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,37,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,28,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,30,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,22,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,37,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-01-20,25,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-02-20,34,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-03-20,25,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-04-20,38,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-05-20,41,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-06-20,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-07-20,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-08-20,39,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-09-20,34,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-10-20,45,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-11-20,43,"Linville Falls","Ozone","Avery",35.972347,-81.933072
3-12-20,48,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,51,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,42,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,46,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,44,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,47,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,54,"Linville Falls","Ozone","Avery",35.972347,-81.933072
NA,58,"Linville Falls","Ozone","Avery",35.972347,-81.933072
